,font_1,font_2,font_3,font_4,font_5,p_1,p_2,p_3,p_4,p_5
0,1055.0,2185.0,2181.0,884.0,1047.0,1.3612498026299224e-37,2.224911627456501e-22,4.1301237061440454e-13,0.0754697248339653,0.9245302677154541
1,791.0,2382.0,901.0,884.0,2185.0,0.0,0.0,6.558076813040144e-43,6.240193311260702e-33,1.0
2,795.0,796.0,797.0,2382.0,837.0,0.0,0.0,0.0,0.0,1.0
3,2200.0,2186.0,386.0,2117.0,2181.0,2.720749500617414e-16,5.800397448898315e-16,6.691994736129914e-10,4.5924481995029964e-09,1.0
4,796.0,797.0,790.0,837.0,887.0,0.0,0.0,0.0,1.6325846212098162e-25,1.0
5,767.0,2189.0,566.0,890.0,2186.0,1.1869222200585493e-39,3.16967490865092e-38,6.707883322654904e-35,2.133730794849164e-18,1.0
6,2170.0,837.0,2134.0,1744.0,3.0,3.210568423244744e-20,3.00669808061399e-13,3.270587412007586e-10,4.090983940496784e-10,1.0
7,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
8,269.0,2185.0,263.0,1744.0,260.0,2.0744723469142054e-28,3.0835118226498853e-28,1.939927398314308e-16,1.789146223752161e-13,1.0
9,1617.0,1636.0,1744.0,1641.0,1742.0,4.802210324283359e-23,3.0911151861999487e-16,2.1997474100501208e-13,1.043805486489191e-08,1.0
10,837.0,1750.0,2185.0,2362.0,1744.0,5.605193857299268e-45,5.061525701636406e-26,3.7251570733684894e-23,4.2727418283171337e-14,1.0
11,796.0,790.0,721.0,884.0,1113.0,0.0,0.0,2.0563739727864156e-36,3.055989839877925e-30,1.0
12,784.0,2186.0,2189.0,2185.0,890.0,0.0,4.2720377346976384e-38,6.813752942851446e-27,1.889805423260782e-09,1.0
13,790.0,2382.0,879.0,884.0,260.0,0.0,0.0,6.1160243986822105e-24,0.005680387374013662,0.9943196177482605
14,796.0,790.0,2382.0,1883.0,887.0,0.0,0.0,0.0,4.343143432358267e-28,1.0
15,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
16,1426.0,1161.0,837.0,94.0,2073.0,1.5850291497628934e-28,7.49228060026165e-24,3.1433067749761685e-22,3.1007087404781153e-21,1.0
17,632.0,2015.0,339.0,1990.0,231.0,4.740054159180913e-24,2.2096434139625654e-23,6.4729144754261865e-22,8.061966205730187e-09,1.0
18,890.0,1744.0,837.0,2185.0,884.0,1.8188854066936126e-42,7.255212709692797e-37,1.913907552404314e-30,4.533187046150882e-22,1.0
19,798.0,792.0,783.0,2363.0,837.0,0.0,0.0,0.0,3.0548306522281012e-43,1.0
20,789.0,1168.0,1881.0,1884.0,884.0,0.0,5.465064010866787e-44,3.674049408142491e-26,3.67968988612688e-10,1.0
21,2382.0,620.0,843.0,837.0,1744.0,0.0,4.2805464189730187e-41,1.223843183581071e-37,1.510878088311695e-19,1.0
